invid,classid,description,description,qty,tot,subclassid,name1,desc,i_desc,firsttransaction,sequence,txn_date
RADSDE3,DENTAL,Dental,,24,6153.60,,Tudor Glen Veterinary Hospital,Radiograph Dental Full Mouth,,1485086,5,2/28/2026 19:09:20:447
RADSDE3,DENTAL,Dental,,9,2051.20,,Tudor Glen Veterinary Hospital,Radiograph Dental Full Mouth,,1442263,5,8/30/2025 17:35:05:993
RADSDE3,DENTAL,Dental,,26,6666.40,,Tudor Glen Veterinary Hospital,Radiograph Dental Full Mouth,,1406169,5,3/31/2025 18:16:31:852
RADSDE3,DENTAL,Dental,,16,4102.40,,Tudor Glen Veterinary Hospital,Radiograph Dental Full Mouth,,1449426,5,9/30/2025 18:33:25:34
2520,OPTHO,Opthalmology,,1,75.00,,Tudor Glen Veterinary Hospital,Opthalmic Serum (incl collection),Opthalmic Serum,1477746,7,1/31/2026 19:14:15:897
2520,OPTHO,Opthalmology,,5,375.00,,Tudor Glen Veterinary Hospital,Opthalmic Serum (incl collection),Opthalmic Serum,1427983,7,6/30/2025 18:30:05:565
2520,OPTHO,Opthalmology,,3,225.00,,Tudor Glen Veterinary Hospital,Opthalmic Serum (incl collection),Opthalmic Serum,1464415,7,11/29/2025 18:45:33:008
2520,OPTHO,Opthalmology,,2,150.00,,Tudor Glen Veterinary Hospital,Opthalmic Serum (incl collection),Opthalmic Serum,1435299,7,7/31/2025 18:27:44:508
2520,OPTHO,Opthalmology,,2,150.00,,Tudor Glen Veterinary Hospital,Opthalmic Serum (incl collection),Opthalmic Serum,1420600,7,5/31/2025 18:04:44:559
2520,OPTHO,Opthalmology,,1,75.00,,Tudor Glen Veterinary Hospital,Opthalmic Serum (incl collection),Opthalmic Serum,1406169,7,3/31/2025 18:16:31:852
2520,OPTHO,Opthalmology,,2,150.00,,Tudor Glen Veterinary Hospital,Opthalmic Serum (incl collection),Opthalmic Serum,1471068,7,12/31/2025 18:16:10:824
374,RAD,Radiology,,1,360.00,,Tudor Glen Veterinary Hospital,Barium Series,Barium Series,1464415,5,11/29/2025 18:45:33:008
374,RAD,Radiology,,1,360.00,,Tudor Glen Veterinary Hospital,Barium Series,Barium Series,1456759,5,10/31/2025 18:15:33:419
374,RAD,Radiology,,1,360.00,,Tudor Glen Veterinary Hospital,Barium Series,Barium Series,1485086,5,2/28/2026 19:09:20:447
51683,RAD,Radiology,,1,180.00,,Tudor Glen Veterinary Hospital,Radiograph Feed tube/urinary cath place,Radiograph ,1420600,1,5/31/2025 18:04:44:559
51683,RAD,Radiology,,1,180.00,,Tudor Glen Veterinary Hospital,Radiograph Feed tube/urinary cath place,Radiograph ,1456759,1,10/31/2025 18:15:33:419
RADSE1,RAD,Radiology,,1,125.00,,Tudor Glen Veterinary Hospital,Radiograph Exotic - 1 view,,1406169,5,3/31/2025 18:16:31:852
RADSE1,RAD,Radiology,,1,125.00,,Tudor Glen Veterinary Hospital,Radiograph Exotic - 1 view,,1471068,5,12/31/2025 18:16:10:824
1955,SERV,Services,,3,103.00,,Tudor Glen Veterinary Hospital,Ear Pluck Technologist ,,1435299,6,7/31/2025 18:27:44:508
1955,SERV,Services,,2,78.00,,Tudor Glen Veterinary Hospital,Ear Pluck Technologist ,,1427983,6,6/30/2025 18:30:05:565
1955,SERV,Services,,1,39.00,,Tudor Glen Veterinary Hospital,Ear Pluck Technologist ,,1471068,6,12/31/2025 18:16:10:824
1955,SERV,Services,,1,39.00,,Tudor Glen Veterinary Hospital,Ear Pluck Technologist ,,1420600,6,5/31/2025 18:04:44:559
1955,SERV,Services,,2,78.00,,Tudor Glen Veterinary Hospital,Ear Pluck Technologist ,,1413429,6,4/30/2025 18:37:16:465
1955,SERV,Services,,2,78.00,,Tudor Glen Veterinary Hospital,Ear Pluck Technologist ,,1406169,6,3/31/2025 18:16:31:852
20405,SERV,Services,,1,26.00,,Tudor Glen Veterinary Hospital,Pear Tree Extra Lettering (Front),,1471068,12,12/31/2025 18:16:10:824
20405,SERV,Services,,1,26.00,,Tudor Glen Veterinary Hospital,Pear Tree Extra Lettering (Front),,1464415,12,11/29/2025 18:45:33:008
20406,SERV,Services,,1,185.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Pattern Match ,,1427983,8,6/30/2025 18:30:05:565
20406,SERV,Services,,1,240.50,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Pattern Match ,,1420600,8,5/31/2025 18:04:44:559
23560,SERV,Services,,10,1354.00,,Tudor Glen Veterinary Hospital,Canine DA2PPv 1st ,,1406169,7,3/31/2025 18:16:31:852
23560,SERV,Services,,2,270.80,,Tudor Glen Veterinary Hospital,Canine DA2PPv 1st ,,1420600,7,5/31/2025 18:04:44:559
23560,SERV,Services,,6,812.40,,Tudor Glen Veterinary Hospital,Canine DA2PPv 1st ,,1464415,7,11/29/2025 18:45:33:008
23560,SERV,Services,,2,270.80,,Tudor Glen Veterinary Hospital,Canine DA2PPv 1st ,,1456759,7,10/31/2025 18:15:33:419
23560,SERV,Services,,2,270.80,,Tudor Glen Veterinary Hospital,Canine DA2PPv 1st ,,1413429,7,4/30/2025 18:37:16:465
23560,SERV,Services,,1,135.40,,Tudor Glen Veterinary Hospital,Canine DA2PPv 1st ,,1449426,7,9/30/2025 18:33:25:34
23560,SERV,Services,,3,406.20,,Tudor Glen Veterinary Hospital,Canine DA2PPv 1st ,,1471068,7,12/31/2025 18:16:10:824
23560,SERV,Services,,2,270.80,,Tudor Glen Veterinary Hospital,Canine DA2PPv 1st ,,1485086,7,2/28/2026 19:09:20:447
23560,SERV,Services,,2,270.80,,Tudor Glen Veterinary Hospital,Canine DA2PPv 1st ,,1427983,7,6/30/2025 18:30:05:565
23561,SERV,Services,,7,935.90,,Tudor Glen Veterinary Hospital,Canine Da2PPv 2nd,Canine DA2PPv Vaccination 2nd,1406169,8,3/31/2025 18:16:31:852
23561,SERV,Services,,5,677.00,,Tudor Glen Veterinary Hospital,Canine Da2PPv 2nd,Canine DA2PPv Vaccination 2nd,1427983,8,6/30/2025 18:30:05:565
23561,SERV,Services,,9,1120.60,,Tudor Glen Veterinary Hospital,Canine Da2PPv 2nd,Canine DA2PPv Vaccination 2nd,1442263,8,8/30/2025 17:35:05:993
23561,SERV,Services,,10,1354.00,,Tudor Glen Veterinary Hospital,Canine Da2PPv 2nd,Canine DA2PPv Vaccination 2nd,1464415,8,11/29/2025 18:45:33:008
23561,SERV,Services,,11,1489.40,,Tudor Glen Veterinary Hospital,Canine Da2PPv 2nd,Canine DA2PPv Vaccination 2nd,1449426,8,9/30/2025 18:33:25:34
23561,SERV,Services,,2,270.80,,Tudor Glen Veterinary Hospital,Canine Da2PPv 2nd,Canine DA2PPv Vaccination 2nd,1413429,8,4/30/2025 18:37:16:465
23561,SERV,Services,,4,541.60,,Tudor Glen Veterinary Hospital,Canine Da2PPv 2nd,Canine DA2PPv Vaccination 2nd,1420600,8,5/31/2025 18:04:44:559
23561,SERV,Services,,4,541.60,,Tudor Glen Veterinary Hospital,Canine Da2PPv 2nd,Canine DA2PPv Vaccination 2nd,1456759,8,10/31/2025 18:15:33:419
23561,SERV,Services,,14,1895.60,,Tudor Glen Veterinary Hospital,Canine Da2PPv 2nd,Canine DA2PPv Vaccination 2nd,1471068,8,12/31/2025 18:16:10:824
23561,SERV,Services,,3,406.20,,Tudor Glen Veterinary Hospital,Canine Da2PPv 2nd,Canine DA2PPv Vaccination 2nd,1485086,8,2/28/2026 19:09:20:447
23561,SERV,Services,,9,1218.60,,Tudor Glen Veterinary Hospital,Canine Da2PPv 2nd,Canine DA2PPv Vaccination 2nd,1477746,8,1/31/2026 19:14:15:897
23562,SERV,Services,,26,3422.40,,Tudor Glen Veterinary Hospital,Canine DA2PPv Annual,,1420600,7,5/31/2025 18:04:44:559
23562,SERV,Services,,24,3249.60,,Tudor Glen Veterinary Hospital,Canine DA2PPv Annual,,1477746,7,1/31/2026 19:14:15:897
23562,SERV,Services,,26,3520.40,,Tudor Glen Veterinary Hospital,Canine DA2PPv Annual,,1464415,7,11/29/2025 18:45:33:008
23562,SERV,Services,,27,3655.80,,Tudor Glen Veterinary Hospital,Canine DA2PPv Annual,,1449426,7,9/30/2025 18:33:25:34
23562,SERV,Services,,22,2978.80,,Tudor Glen Veterinary Hospital,Canine DA2PPv Annual,,1427983,7,6/30/2025 18:30:05:565
23562,SERV,Services,,32,4332.80,,Tudor Glen Veterinary Hospital,Canine DA2PPv Annual,,1406169,7,3/31/2025 18:16:31:852
23562,SERV,Services,,26,3520.40,,Tudor Glen Veterinary Hospital,Canine DA2PPv Annual,,1442263,7,8/30/2025 17:35:05:993
23562,SERV,Services,,35,4739.00,,Tudor Glen Veterinary Hospital,Canine DA2PPv Annual,,1456759,7,10/31/2025 18:15:33:419
23562,SERV,Services,,15,2031.00,,Tudor Glen Veterinary Hospital,Canine DA2PPv Annual,,1435299,7,7/31/2025 18:27:44:508
23562,SERV,Services,,22,2978.80,,Tudor Glen Veterinary Hospital,Canine DA2PPv Annual,,1471068,7,12/31/2025 18:16:10:824
23562,SERV,Services,,21,2843.40,,Tudor Glen Veterinary Hospital,Canine DA2PPv Annual,,1485086,7,2/28/2026 19:09:20:447
23562,SERV,Services,,21,2843.40,,Tudor Glen Veterinary Hospital,Canine DA2PPv Annual,,1413429,7,4/30/2025 18:37:16:465
23563,SERV,Services,,13,1760.20,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1435299,6,7/31/2025 18:27:44:508
23563,SERV,Services,,18,2437.20,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1406169,6,3/31/2025 18:16:31:852
23563,SERV,Services,,-1,-123.50,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1435299,5,7/31/2025 18:27:44:508
23563,SERV,Services,,11,1489.40,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1442263,6,8/30/2025 17:35:05:993
23563,SERV,Services,,5,677.00,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1471068,6,12/31/2025 18:16:10:824
23563,SERV,Services,,10,1354.00,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1485086,6,2/28/2026 19:09:20:447
23563,SERV,Services,,10,1354.00,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1413429,6,4/30/2025 18:37:16:465
23563,SERV,Services,,8,1083.20,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1464415,6,11/29/2025 18:45:33:008
23563,SERV,Services,,13,1760.20,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1427983,6,6/30/2025 18:30:05:565
23563,SERV,Services,,11,1489.40,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1477746,6,1/31/2026 19:14:15:897
23563,SERV,Services,,23,3114.20,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1456759,6,10/31/2025 18:15:33:419
23563,SERV,Services,,10,1354.00,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1420600,6,5/31/2025 18:04:44:559
23563,SERV,Services,,17,2301.80,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper) Alone,,1449426,6,9/30/2025 18:33:25:34
23564,SERV,Services,,8,299.20,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper),,1456759,8,10/31/2025 18:15:33:419
23564,SERV,Services,,10,374.00,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper),,1442263,8,8/30/2025 17:35:05:993
23564,SERV,Services,,5,187.00,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper),,1485086,8,2/28/2026 19:09:20:447
23564,SERV,Services,,15,561.00,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper),,1449426,8,9/30/2025 18:33:25:34
23564,SERV,Services,,12,448.80,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper),,1464415,8,11/29/2025 18:45:33:008
23564,SERV,Services,,15,561.00,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper),,1471068,8,12/31/2025 18:16:10:824
23564,SERV,Services,,9,336.60,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper),,1427983,8,6/30/2025 18:30:05:565
23564,SERV,Services,,11,411.40,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper),,1435299,8,7/31/2025 18:27:44:508
23564,SERV,Services,,13,486.20,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper),,1420600,8,5/31/2025 18:04:44:559
23564,SERV,Services,,9,336.60,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper),,1477746,8,1/31/2026 19:14:15:897
23564,SERV,Services,,7,261.80,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper),,1406169,8,3/31/2025 18:16:31:852
23564,SERV,Services,,17,635.80,,Tudor Glen Veterinary Hospital,Canine DAP (Distemper),,1413429,8,4/30/2025 18:37:16:465
23565,SERV,Services,,13,1760.20,,Tudor Glen Veterinary Hospital,Canine CPV (Parvo) Alone,Canine CPV (Parvo),1464415,9,11/29/2025 18:45:33:008
23565,SERV,Services,,26,3520.40,,Tudor Glen Veterinary Hospital,Canine CPV (Parvo) Alone,Canine CPV (Parvo),1406169,9,3/31/2025 18:16:31:852
23565,SERV,Services,,20,2708.00,,Tudor Glen Veterinary Hospital,Canine CPV (Parvo) Alone,Canine CPV (Parvo),1413429,9,4/30/2025 18:37:16:465
23565,SERV,Services,,15,2031.00,,Tudor Glen Veterinary Hospital,Canine CPV (Parvo) Alone,Canine CPV (Parvo),1449426,9,9/30/2025 18:33:25:34
23565,SERV,Services,,19,2572.60,,Tudor Glen Veterinary Hospital,Canine CPV (Parvo) Alone,Canine CPV (Parvo),1477746,9,1/31/2026 19:14:15:897
23565,SERV,Services,,11,1489.40,,Tudor Glen Veterinary Hospital,Canine CPV (Parvo) Alone,Canine CPV (Parvo),1435299,9,7/31/2025 18:27:44:508
23565,SERV,Services,,10,1354.00,,Tudor Glen Veterinary Hospital,Canine CPV (Parvo) Alone,Canine CPV (Parvo),1471068,9,12/31/2025 18:16:10:824
23565,SERV,Services,,28,3791.20,,Tudor Glen Veterinary Hospital,Canine CPV (Parvo) Alone,Canine CPV (Parvo),1485086,9,2/28/2026 19:09:20:447
23565,SERV,Services,,27,3655.80,,Tudor Glen Veterinary Hospital,Canine CPV (Parvo) Alone,Canine CPV (Parvo),1456759,9,10/31/2025 18:15:33:419
23565,SERV,Services,,27,3655.80,,Tudor Glen Veterinary Hospital,Canine CPV (Parvo) Alone,Canine CPV (Parvo),1427983,9,6/30/2025 18:30:05:565
23565,SERV,Services,,28,3791.20,,Tudor Glen Veterinary Hospital,Canine CPV (Parvo) Alone,Canine CPV (Parvo),1420600,9,5/31/2025 18:04:44:559
23565,SERV,Services,,12,1624.80,,Tudor Glen Veterinary Hospital,Canine CPV (Parvo) Alone,Canine CPV (Parvo),1442263,9,8/30/2025 17:35:05:993
23617,SERV,Services,,2,270.80,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Alone,Canine Bordetella (Kennel Cough),1464415,7,11/29/2025 18:45:33:008
23617,SERV,Services,,3,406.20,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Alone,Canine Bordetella (Kennel Cough),1456759,7,10/31/2025 18:15:33:419
23617,SERV,Services,,4,541.60,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Alone,Canine Bordetella (Kennel Cough),1442263,7,8/30/2025 17:35:05:993
23617,SERV,Services,,6,812.40,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Alone,Canine Bordetella (Kennel Cough),1477746,7,1/31/2026 19:14:15:897
23617,SERV,Services,,2,270.80,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Alone,Canine Bordetella (Kennel Cough),1471068,7,12/31/2025 18:16:10:824
23617,SERV,Services,,2,270.80,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Alone,Canine Bordetella (Kennel Cough),1435299,7,7/31/2025 18:27:44:508
23617,SERV,Services,,1,135.40,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Alone,Canine Bordetella (Kennel Cough),1427983,7,6/30/2025 18:30:05:565
23617,SERV,Services,,3,406.20,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Alone,Canine Bordetella (Kennel Cough),1485086,7,2/28/2026 19:09:20:447
23617,SERV,Services,,2,270.80,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Alone,Canine Bordetella (Kennel Cough),1406169,7,3/31/2025 18:16:31:852
23617,SERV,Services,,3,406.20,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Alone,Canine Bordetella (Kennel Cough),1449426,7,9/30/2025 18:33:25:34
23617,SERV,Services,,4,541.60,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Alone,Canine Bordetella (Kennel Cough),1420600,7,5/31/2025 18:04:44:559
23617,SERV,Services,,7,947.80,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Alone,Canine Bordetella (Kennel Cough),1413429,7,4/30/2025 18:37:16:465
23618,SERV,Services,,1,135.40,,Tudor Glen Veterinary Hospital,Canine Bordetella IntraNasal Alone,Canine Bordetella (Kennel Cough),1420600,9,5/31/2025 18:04:44:559
23619,SERV,Services,,1,135.40,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Alone,Canine Leptospirosis,1477746,4,1/31/2026 19:14:15:897
23619,SERV,Services,,1,135.40,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Alone,Canine Leptospirosis,1449426,4,9/30/2025 18:33:25:34
23619,SERV,Services,,1,135.40,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Alone,Canine Leptospirosis,1413429,4,4/30/2025 18:37:16:465
23619,SERV,Services,,1,135.40,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Alone,Canine Leptospirosis,1427983,4,6/30/2025 18:30:05:565
23619,SERV,Services,,1,135.40,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Alone,Canine Leptospirosis,1406169,4,3/31/2025 18:16:31:852
23619,SERV,Services,,1,135.40,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Alone,Canine Leptospirosis,1420600,4,5/31/2025 18:04:44:559
23620,SERV,Services,,53,7176.20,,Tudor Glen Veterinary Hospital,Rabies Vaccination 3 Year Alone,Rabies Vaccination 3 Year,1464415,8,11/29/2025 18:45:33:008
23620,SERV,Services,,60,8124.00,,Tudor Glen Veterinary Hospital,Rabies Vaccination 3 Year Alone,Rabies Vaccination 3 Year,1477746,8,1/31/2026 19:14:15:897
23620,SERV,Services,,34,4603.60,,Tudor Glen Veterinary Hospital,Rabies Vaccination 3 Year Alone,Rabies Vaccination 3 Year,1449426,8,9/30/2025 18:33:25:34
23620,SERV,Services,,36,4874.40,,Tudor Glen Veterinary Hospital,Rabies Vaccination 3 Year Alone,Rabies Vaccination 3 Year,1420600,8,5/31/2025 18:04:44:559
23620,SERV,Services,,35,4613.74,,Tudor Glen Veterinary Hospital,Rabies Vaccination 3 Year Alone,Rabies Vaccination 3 Year,1485086,8,2/28/2026 19:09:20:447
23620,SERV,Services,,34,4603.60,,Tudor Glen Veterinary Hospital,Rabies Vaccination 3 Year Alone,Rabies Vaccination 3 Year,1427983,8,6/30/2025 18:30:05:565
23620,SERV,Services,,37,5009.80,,Tudor Glen Veterinary Hospital,Rabies Vaccination 3 Year Alone,Rabies Vaccination 3 Year,1442263,8,8/30/2025 17:35:05:993
23620,SERV,Services,,38,5145.20,,Tudor Glen Veterinary Hospital,Rabies Vaccination 3 Year Alone,Rabies Vaccination 3 Year,1435299,8,7/31/2025 18:27:44:508
23620,SERV,Services,,49,6634.60,,Tudor Glen Veterinary Hospital,Rabies Vaccination 3 Year Alone,Rabies Vaccination 3 Year,1413429,8,4/30/2025 18:37:16:465
23620,SERV,Services,,39,5280.60,,Tudor Glen Veterinary Hospital,Rabies Vaccination 3 Year Alone,Rabies Vaccination 3 Year,1456759,8,10/31/2025 18:15:33:419
23620,SERV,Services,,38,5145.20,,Tudor Glen Veterinary Hospital,Rabies Vaccination 3 Year Alone,Rabies Vaccination 3 Year,1471068,8,12/31/2025 18:16:10:824
23620,SERV,Services,,57,7717.80,,Tudor Glen Veterinary Hospital,Rabies Vaccination 3 Year Alone,Rabies Vaccination 3 Year,1406169,8,3/31/2025 18:16:31:852
23621,SERV,Services,,23,860.20,,Tudor Glen Veterinary Hospital,Rabies Vaccination 1 Year add on,Rabies Vaccination 1 Year,1420600,7,5/31/2025 18:04:44:559
23621,SERV,Services,,15,561.00,,Tudor Glen Veterinary Hospital,Rabies Vaccination 1 Year add on,Rabies Vaccination 1 Year,1471068,7,12/31/2025 18:16:10:824
23621,SERV,Services,,24,897.60,,Tudor Glen Veterinary Hospital,Rabies Vaccination 1 Year add on,Rabies Vaccination 1 Year,1406169,7,3/31/2025 18:16:31:852
